Request Count, Average Response Time (secs)
1,0.13
2,0.14
3,0.13
4,0.11
5,0.10
6,0.11
7,0.11
8,0.10
9,0.11
10,0.10
11,0.11
12,0.11
13,0.11
14,0.10
15,0.11
16,0.11
17,0.11
18,0.11
19,0.11
20,0.11
21,0.11
22,0.10
23,0.11
24,0.11
25,0.11
26,0.10
27,0.10
28,0.11
29,0.11
30,0.11
31,0.10
32,0.10
33,0.11
34,0.11
35,0.10
36,0.11
37,0.11
38,0.10
39,0.10
40,0.11
41,0.11
42,0.11
43,0.11
44,0.11
45,0.11
46,0.11
47,0.11
48,0.13
49,0.11
50,0.11
51,0.11
52,0.11
53,0.11
54,0.11
55,0.11
56,0.11
57,0.11
58,0.11
59,0.11
60,0.11
61,0.25
62,0.12
63,0.12
64,0.12
65,0.11
66,0.11
67,0.11
68,0.11
69,0.12
70,0.11
71,0.11
72,0.11
73,0.17
74,0.11
75,0.11
76,0.11
77,0.11
78,0.11
79,0.15
80,0.21
81,0.11
82,0.11
83,0.11
84,0.11
85,0.11
86,0.11
87,0.11
88,0.11
89,0.20
90,0.11
91,0.11
92,0.11
93,0.11
94,0.12
95,0.12
96,0.12
97,0.12
98,0.12
99,0.11
100,0.11
101,0.11
102,0.11
103,0.11
104,0.11
105,0.11
106,0.11
107,0.11
108,0.11
109,0.11
110,0.11
111,0.11
112,0.11
113,0.11
114,0.11
115,0.11
116,0.12
117,0.13
118,0.13
119,0.12
120,0.12
121,0.12
122,0.11
123,0.11
124,0.11
125,0.11
126,0.11
127,0.11
128,0.11
129,0.11
130,0.11
131,0.11
132,0.11
133,0.11
134,0.13
135,0.14
136,0.15
137,0.11
138,0.11
139,0.12
140,0.12
141,0.12
142,0.11
143,0.12
144,0.12
145,0.11
146,0.11
147,0.11
148,0.12
149,0.11
150,0.11
